"","B.T","F.T","W.S","P.H","Lam","LLW","L.L","L.W","N.L","Pet","Pti","RD1","RD2","RD3","RD4","Ssh","S.H","SLD","SLL","SLW","P.L","Gsh","Tray","Gen"
"160",168,195,NA,37,1.89,1.6279069767,2.19,1.161,24,NA,0.3,2.132,5.095,4.939,5.684,3,42,0.57,3.037,1.534,0.16,3,"7","F2"
"226",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.367,5.735,5.396,5.763,NA,NA,NA,NA,NA,NA,NA,NA,"F2"
"103",170,195,NA,32.5,2.015,1.9172216936,2.42,1.051,23,NA,0.405,3.129,4.671,4.755,3.998,1,34,0.68,3.15,1.169,0.2,0,"4","F2"
"208",162,193,0.0096,48,2.051,1.6770237122,2.051,1.223,23,NA,0,2.696,4.372,4.719,1.273,3,43,0.53,3.054,1.421,0,1,"8","F2"
"617",181,NA,NA,33,1.825,1.8213572854,2.006,1.002,21,NA,0.181,1.96,4.36,4.669,5.041,0,37,0.57,NA,NA,0.1,0,"24","F2"
"610",170,193,NA,31,1.008,1.1626297578,1.461,0.867,21,NA,0.453,1.823,2.921,2.657,3.314,3,32,0.66,2.61,1.236,0.45,1,"24","F2"
"737",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.257,2.017,1.936,3.251,NA,NA,NA,NA,NA,NA,NA,"29","F2"
"801",154,178,0.0132,25,NA,NA,NA,NA,24,NA,NA,2.412,2.97,3.058,3.457,2,30,0.8,NA,NA,NA,0,"31","F2"
"396",160,NA,0.027,NA,1.55,1.6630901288,1.55,0.932,19,5.0176666667,0,2.433,4.694,4.738,4.913,3,23,0.83,NA,NA,0,0,"16","F2"
"649",165,188,0.0103,34,0.973,1.3742937853,1.317,0.708,21,NA,0.344,1.575,2.183,2.085,2.843,3,38,0.55,2.891,1.484,0.35,1,"25","F2"
"1112",160,183,0.0365,31,NA,NA,NA,NA,22,NA,NA,3.421,5.081,5.352,5.041,3,34,0.65,NA,NA,NA,3,"43","F2"
"802",160,NA,0.0067,NA,NA,NA,NA,NA,21,NA,NA,2.421,4.332,4.605,0,4,33,0.64,NA,NA,NA,0,"31","F2"
"183",161,187,0.0087,32,1.741,1.7035225049,1.781,1.022,27,NA,0.04,2.363,3.867,3.969,3.489,2,39,0.69,3.246,1.453,0.02,1,"8","F2"
"516",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.177,4.817,4.919,5.346,NA,NA,NA,NA,NA,NA,NA,NA,"F2"
"427",165,190,NA,39.5,2.379,1.7714072971,2.379,1.343,37,NA,0,3.061,4.909,4.706,5.52,4,48,0.77,NA,NA,0,0,"17","F2"
"96",NA,NA,NA,NA,0.828,1.626719057,0.883,0.509,NA,NA,0.055,1.064,1.029,0,1.553,NA,NA,NA,NA,NA,0.07,NA,"4","F2"
"607",170,196,NA,51,1.97,1.9052224371,1.97,1.034,18,NA,0,2.484,5.211,5.363,5.381,2,40,0.45,NA,NA,0,0,"24","F2"
"887",160,NA,0.0044,NA,NA,NA,NA,NA,23,NA,NA,1.935,3.046,3.358,3.979,4,33,0.7,2.753,1.467,NA,4,"35","F2"
"629",NA,NA,NA,NA,0.808,1.5274102079,1.127,0.529,NA,NA,0.319,1.1,2.234,2.478,2.275,NA,NA,NA,NA,NA,0.39,NA,"25","F2"
"1067",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1.765,1.782,1.849,NA,NA,NA,NA,NA,NA,NA,"42","F2"
"421",167,193,0.0106,35,1.596,1.8666666667,1.745,0.855,23,NA,0.149,2.146,4.008,3.726,3.556,1,39,0.59,NA,NA,0.09,2,"17","F2"
"37",158,185,0.0172,42,1.239,1.6498002663,1.68,0.751,21,4.196,0.441,2.262,4.101,3.962,3.708,0,47,0.45,3.495,1.436,0.36,1,"2","F2"
"121",NA,NA,NA,NA,1.05,1.8551236749,1.21,0.566,NA,NA,0.16,1.4,1.262,1.533,2.334,NA,NA,NA,NA,NA,0.15,NA,"5","F2"
"613",168,196,NA,33,1.462,1.8624203822,2.029,0.785,17,NA,0.567,1.664,3.278,3.74,3.884,3,34,0.5,3.288,1.304,0.39,0,"24","F2"
"889",162,181,NA,24,NA,NA,NA,NA,13,NA,NA,2.165,3.44,3.526,5.367,2,23,0.57,3.01,1.224,NA,3,"35","F2"
"141",162,193,0.005,38.5,0.867,1.8806941432,1.125,0.461,18,NA,0.258,1.481,2.639,2.477,2.662,2,45,0.4,3.3135,1.5035,0.3,1,"6","F2"
"767",167,193,NA,27,1.27,1.6978609626,1.443,0.748,23,NA,0.173,1.725,2.888,3.362,3.3,1,24,0.96,NA,NA,0.14,0,"30","F2"
"818",172,203,NA,46,NA,NA,NA,NA,32,NA,NA,2.273,4.2,4.291,4.684,2,39,0.82,2.4805,0.9055,NA,0,"32","F2"
"604",168,189,NA,31,1.87,1.9004065041,1.984,0.984,18,NA,0.114,2.847,3.57,3.417,3.818,3,34,0.53,2.918,1.47,0.06,0,"24","F2"
"117",172,196,NA,29,1.391,1.4150559512,1.871,0.983,19,NA,0.48,2.044,3.052,3.262,3.761,3,30,0.63,3.549,1.232,0.35,2,"5","F2"
"638",NA,NA,NA,NA,1.238,1.5060827251,1.403,0.822,NA,NA,0.165,1.11,1.705,1.252,1.635,NA,NA,NA,NA,NA,0.13,NA,"25","F2"
"755",160,178,NA,20,1.378,1.7033374536,1.926,0.809,18,NA,0.548,2.14,4.381,4.636,4.191,1,20,0.9,NA,NA,0.4,0,"30","F2"
"587",160,181,NA,23,1.352,1.2290909091,2.166,1.1,19,NA,0.814,2.164,4.858,5.224,4.199,2,30,0.63,2.61,1.438,0.6,1,"23","F2"
"747",172,NA,0.0063,NA,NA,NA,NA,NA,17,NA,NA,1.871,2.316,1.917,2.824,2,26,0.65,NA,NA,NA,0,"29","F2"
"125",162,190,NA,42,1.722,1.704950495,2.102,1.01,27,NA,0.38,2.274,3.854,4.083,4.087,2,48,0.56,2.983,1.167,0.22,0,"5","F2"
"734",166,193,0.0182,40,NA,NA,NA,NA,21,NA,NA,1.942,2.724,2.327,3.184,3,38,0.55,NA,NA,NA,0,"29","F2"
"114",168,193,0.0338,38,1.579,1.6261585994,1.599,0.971,17,NA,0.02,2.138,3.168,3.579,3.511,2,35,0.49,2.914,1.337,0.01,2,"5","F2"
"620",182,NA,NA,NA,0.979,1.5344827586,1.3,0.638,19,NA,0.321,1.258,3.037,3.138,3.277,3,31,0.61,2.537,1.114,0.33,0,"24","F2"
"618",161,183,NA,25.5,1.375,1.7361111111,1.776,0.792,28,NA,0.401,2.198,2.887,3.262,2.963,2,32,0.88,NA,NA,0.29,0,"24","F2"
"94",161,193,NA,40,2.785,2.0987189148,3.341,1.327,28,NA,0.556,3.961,6.614,6.36,6.219,3,41,0.68,NA,NA,0.2,4,"4","F2"
"898",159,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,2.732,5.22,5.782,4.758,3,34,0.62,2.91,1.464,NA,0,"35","F2"
