"","B.T","F.T","W.S","P.H","Lam","LLW","L.L","L.W","N.L","Pet","Pti","RD1","RD2","RD3","RD4","Ssh","S.H","SLD","SLL","SLW","P.L","Gsh","Tray","Gen"
"72",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.018,3.632,4.024,4.259,NA,NA,NA,NA,NA,NA,NA,NA,"F2"
"1047",160,183,0.0069,30.5,1.131,1.6681415929,1.362,0.678,20,NA,0.231,1.832,3.667,3.109,3.649,5,32,0.63,NA,NA,0.2,2,"41","F2"
"418",168,193,0.014,32,1.335,1.7428198433,1.612,0.766,21,NA,0.277,1.832,3.389,3.602,4.152,1,29,0.72,NA,NA,0.21,0,"17","F2"
"189",165,193,0.0123,43,2.248,2.1636188643,2.248,1.039,25,NA,0,2.707,4.838,4.176,5.897,2,45,0.56,2.896,1.188,0,2,"8","F2"
"927",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.352,2.884,2.972,4.508,NA,NA,NA,NA,NA,NA,NA,NA,"F2"
"434",167,NA,0.0165,NA,1.643,1.4977210574,2.015,1.097,32,NA,0.372,2.477,3.691,3.797,3.834,3,40,0.8,2.199,1.06,0.23,0,"17","F2"
"842",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.106,5.256,5.019,5.134,NA,NA,NA,NA,NA,NA,NA,NA,"F2"
"356",160,195,NA,46,1.633,1.6362725451,1.788,0.998,25,NA,0.155,1.506,3.464,3.359,3.915,5,44,0.57,3.049,1.448,0.09,1,"14","F2"
"512",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.134,5.052,4.999,6.028,NA,NA,NA,NA,NA,NA,NA,NA,"F2"
"991",167,190,0.0169,34,1.077,1.5105189341,1.251,0.713,21,NA,0.174,2.279,3.595,2.955,3.309,3,30,0.7,2.807,1.394,0.16,2,"39","F2"
"697",155,187,0.0097,40.5,NA,NA,NA,NA,26,NA,NA,2.24,5.96,2.491,5.299,2,41,0.63,2.346,1.441,NA,0,"27","F2"
"467",159,190,0.0113,43,2.431,1.8977361436,2.431,1.281,30,4.8431,0,2.933,5.257,5.065,5.52,1,50,0.6,3.018,1.335,0,0,"18","F2"
"258",168,193,0.0106,29.5,NA,NA,NA,NA,22,4.5042,NA,2.791,5.617,5.985,5.694,1,29,0.76,2.478,1.033,NA,0,"10","F2"
"266",168,195,NA,33,1.436,1.8601036269,1.879,0.772,21,NA,0.443,1.854,3.08,3.557,3.649,5,33,0.64,2.793,1.368,0.31,1,"11","F2"
"116",162,183,NA,27,1.79,1.6934720908,1.79,1.057,20,NA,0,2.842,3.465,3.81,3.609,3,27,0.74,2.455,1.268,0,2,"5","F2"
"953",168,NA,0.0118,NA,1.947,1.5489260143,2.251,1.257,21,NA,0.304,2.991,5.031,5.619,4.572,2,31,0.68,2.521,1.266,0.16,0,"37","F2"
"27",160,185,NA,25,1.039,1.5014450867,1.44,0.692,18,4.3886,0.401,1.8,3.245,3.102,3.171,1,29,0.62,NA,NA,0.39,4,"2","F2"
"578",167,197,NA,36,1.39,1.7662007624,1.648,0.787,17,NA,0.258,1.688,2.609,2.829,3,1,34,0.5,3.565,1.361,0.19,0,"23","F2"
"447",168,195,0.009,35.5,1.845,1.6198419666,2.272,1.139,21,5.342,0.427,1.929,3.971,3.391,4.269,3,34,0.62,2.582,1.133,0.23,1,"18","F2"
"217",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.283,5.623,5.804,5.789,NA,NA,NA,NA,NA,NA,NA,NA,"F2"
"435",173,193,0.0114,43,1.233,1.2857142857,1.667,0.959,28,NA,0.434,2.404,4.276,3.792,3.699,3,42,0.67,NA,NA,0.35,0,"17","F2"
"885",172,193,0.0092,32.5,NA,NA,NA,NA,19,NA,NA,1.59,2.732,2.515,2.922,2,32,0.59,NA,NA,NA,1,"35","F2"
"342",NA,203,0.0101,NA,1.581,1.8006833713,1.969,0.878,20,NA,0.388,1.626,3.71,3.935,4.235,2,36,0.56,NA,NA,0.25,0,"14","F2"
"1087",168,195,0.0058,39.5,NA,NA,NA,NA,20,NA,NA,2.023,2.735,3.101,4.13,2,41,0.49,2.658,1.189,NA,0,"42","F2"
"88",168,194,NA,35,1.541,2.0965986395,1.615,0.735,22,NA,0.074,1.954,2.323,2.425,3.527,2,42,0.52,3.409,1.449,0.05,1,"4","F2"
"983",155,174,0.0175,26,NA,NA,NA,NA,13,NA,NA,1.601,2.149,2.43,2.815,7,23,0.57,NA,NA,NA,1,"38","F2"
"691",167,195,NA,38,NA,NA,NA,NA,21,NA,NA,1.265,2.866,6.665,3.616,3,38,0.55,2.839,1.382,NA,1,"27","F2"
"742",160,NA,NA,NA,NA,NA,NA,NA,23,NA,NA,1.568,2.068,2.271,3.29,2,40,0.58,NA,NA,NA,1,"29","F2"
"180",165,185,NA,34,1.806,1.6125,1.806,1.12,26,NA,0,2.603,4.35,3.781,4.351,4,33,0.79,NA,NA,0,2,"7","F2"
"252",165,190,0.0045,37,NA,NA,NA,NA,24,5.6162,NA,3.367,5.735,5.396,5.763,4,45,0.53,NA,NA,NA,0,"10","F2"
"38",NA,NA,NA,NA,0.714,1.4631147541,0.889,0.488,NA,NA,0.175,1.337,1.923,1.501,2.575,NA,NA,NA,NA,NA,0.25,NA,"2","F2"
"504",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.715,1.759,1.668,3.442,NA,NA,NA,NA,NA,NA,NA,NA,"F2"
"731",160,176,NA,20,NA,NA,NA,NA,14,NA,NA,0.893,2.434,2.811,3.566,3,26,0.54,NA,NA,NA,1,"29","F2"
"195",170,195,0.0093,35,2.024,1.9294566254,2.144,1.049,29,NA,0.12,2.268,4.216,4.596,3.91,2,38,0.76,NA,NA,0.06,3,"8","F2"
"713",160,181,0.0068,28,NA,NA,NA,NA,18,NA,NA,2.18,3.701,3.565,4.465,2,29,0.62,NA,NA,NA,3,"28","F2"
"1086",168,193,0.0161,44,NA,NA,NA,NA,21,NA,NA,1.757,3.19,3.109,3.937,3,46,0.46,NA,NA,NA,0,"42","F2"
"150",170,195,0.003,38.5,1.356,1.7960264901,1.425,0.755,16,NA,0.069,1.915,3.166,3.173,3.699,2,36,0.44,3.599,1.3285,0.05,0,"6","F2"
"274",168,190,NA,37.5,1.83,2.0021881838,1.83,0.914,24,NA,0,2.011,3.628,3.547,4.178,2,37,0.65,3.18,1.434,0,0,"11","F2"
"55",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.117,4.276,4.37,4.129,NA,NA,NA,NA,NA,NA,NA,NA,"F2"
"272",168,196,NA,35.5,2.405,2.0108695652,2.405,1.196,20,NA,0,3.129,4.988,5.465,5.594,3,42,0.48,3.158,1.638,0,2,"11","F2"
"291",167,181,NA,22,0.996,1.8275229358,0.996,0.545,16,NA,0,1.495,2.431,2.483,2.829,5,23,0.7,NA,NA,0,0,"12","F2"
"533",170,195,0.0211,30,1.122,1.5390946502,1.471,0.729,22,NA,0.349,2.161,2.616,3.152,3.832,5,35,0.63,2.806,1.421,0.31,0,"21","F2"
"736",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1.308,1.384,2.002,NA,NA,NA,NA,NA,NA,NA,"29","F2"
"288",168,193,0.011,32,0.815,1.4399293286,1.044,0.566,20,NA,0.229,1.505,2.496,2.79,3.047,2,32,0.63,NA,NA,0.28,1,"12","F2"
"839",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.896,2.861,3.017,5.092,NA,NA,NA,NA,NA,NA,NA,NA,"F2"
"185",166,182,0.0246,24,1.173,1.4980842912,1.423,0.783,11,NA,0.25,1.485,3.258,3.504,3.725,1,25,0.44,2.752,1.506,0.21,1,"8","F2"
"218",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.517,4.561,4.86,5.552,NA,NA,NA,NA,NA,NA,NA,NA,"F2"
"468",160,189,0.0103,29,2.259,1.8809325562,3.073,1.201,19,5.5832,0.814,2.652,4.735,5.15,5.032,2,40,0.48,2.586,1.262,0.36,2,"18","F2"
"565",168,190,0.0157,32,NA,NA,NA,NA,21,NA,NA,1.75,3.091,3.48,4.192,2,31,0.68,NA,NA,NA,0,"22","F2"
"646",162,187,NA,38,1.011,1.2269417476,1.717,0.824,23,NA,0.706,1.858,3.333,3.765,3.789,2,41,0.56,NA,NA,0.7,0,"25","F2"
"627",160,190,0.0087,39,0.992,1.347826087,1.668,0.736,23,NA,0.676,1.469,2.773,2.888,3.651,2,39,0.59,NA,NA,0.68,1,"25","F2"
"615",160,181,NA,30,1.389,1.9842857143,1.646,0.7,16,NA,0.257,1.952,3.212,2.939,3.872,2,35,0.46,2.603,1.316,0.19,0,"24","F2"
"343",NA,NA,NA,NA,0.784,1.5774647887,0.962,0.497,NA,NA,0.178,0.999,1.745,2.007,2.112,NA,NA,NA,NA,NA,0.23,NA,"14","F2"
"539",168,190,0.0183,36,1.129,1.3036951501,1.314,0.866,16,NA,0.185,1.953,2.524,2.573,3.616,3,30,0.53,2.395,1.509,0.16,0,"21","F2"
"757",160,179,NA,26,0.833,1.277607362,1.084,0.652,16,NA,0.251,1.07,2.298,2.084,3.216,2,29,0.55,NA,NA,0.3,1,"30","F2"
"527",168,195,0.0149,33.5,0.677,1.2630597015,1.195,0.536,21,NA,0.518,1.669,2.622,2.398,3.088,3,34,0.62,3.285,1.442,0.77,0,"21","F2"
"642",167,190,NA,33,0.776,1.1479289941,1.105,0.676,20,NA,0.329,1.553,2.365,2.555,2.807,2,38,0.53,2.902,1.277,0.42,0,"25","F2"
"384",172,193,NA,28,1.144,1.9895652174,1.361,0.575,18,3.9702,0.217,1.57,2.643,2.427,2.558,0,28,0.64,2.654,1,0.19,0,"15","F2"
"1117",167,183,0.007,20,NA,NA,NA,NA,15,NA,NA,1.259,2.578,2.533,2.485,3,20,0.75,NA,NA,NA,0,"43","F2"
"812",167,193,0.0179,35.5,NA,NA,NA,NA,17,NA,NA,1.802,3.374,3.187,4.014,2,31,0.55,2.414,1.1885,NA,0,"32","F2"
"535",161,189,0.0069,33,0.83,1.3673805601,1.549,0.607,18,NA,0.719,1.759,3.105,2.964,3.368,3,35,0.51,2.706,1.326,0.87,0,"21","F2"
"231",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.957,4.02,4.122,4.228,NA,NA,NA,NA,NA,NA,NA,NA,"F2"
"932",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.502,6.281,6.616,6.525,NA,NA,NA,NA,NA,NA,NA,NA,"F2"
"899",168,NA,0.0152,NA,NA,NA,NA,NA,16,NA,NA,1.278,2.322,2.859,2.921,2,28,0.57,2.781,1.312,NA,1,"35","F2"
"1100",160,183,0.0137,27.5,NA,NA,NA,NA,18,NA,NA,1.63,3.836,4.273,4.084,2,33,0.55,2.473,1.282,NA,1,"43","F2"
"925",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.014,5.37,5.963,6.169,NA,NA,NA,NA,NA,NA,NA,NA,"F2"
"552",156,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,2.582,4.638,4.885,4.862,2,47,0.53,NA,NA,NA,0,"22","F2"
"311",170,193,0.0165,32,1.011,1.6359223301,1.589,0.618,22,NA,0.578,2.654,3.893,4.193,4.467,2,35,0.63,3.071,1.117,0.57,0,"12","F2"
"602",NA,NA,NA,NA,0.681,1.6023529412,0.681,0.425,NA,NA,0,1.196,1.257,1.224,1.709,NA,NA,NA,NA,NA,0,NA,"24","F2"
"304",167,190,0.0126,31,1.701,1.8671789243,2.158,0.911,25,NA,0.457,3.253,5.311,6.029,5.868,3,37,0.68,2.726,1.42,0.27,3,"12","F2"
"397",168,193,0.0055,NA,1.359,1.6044864227,1.712,0.847,23,4.2759,0.353,2.071,3.313,2.545,3.219,2,31,0.74,NA,NA,0.26,1,"16","F2"
"894",170,197,0.0072,30,NA,NA,NA,NA,25,NA,NA,1.784,2.49,2.829,3.281,4,38,0.66,2.377,1.251,NA,0,"35","F2"
"1027",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.511,3.2,3.47,3.947,NA,NA,NA,NA,NA,NA,NA,NA,"F2"
"597",161,187,NA,32,1.51,1.7785630153,1.51,0.849,25,NA,0,1.998,3.437,3.31,3.466,2,43,0.58,NA,NA,0,2,"23","F2"
"390",160,178,0.0226,27,NA,NA,NA,NA,21,4.0281111111,NA,2.947,3.69,3.471,2.778,1,32,0.66,NA,NA,NA,1,"15","F2"
"882",154,171,0.0065,25,NA,NA,NA,NA,23,NA,NA,2.677,4.729,5.071,4.792,5,30,0.77,NA,NA,NA,0,"34","F2"
"377",168,195,NA,31,1.876,1.5817875211,2.18,1.186,20,5.345,0.304,2.521,4.055,4.233,3.051,2,34,0.59,NA,NA,0.16,3,"15","F2"
"248",167,NA,0.0075,NA,NA,NA,NA,NA,24,4.8892,NA,4.068,6.72,6.827,6.88,4,41,0.59,3.209,1.273,NA,3,"10","F2"
"911",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.464,5.467,5.695,6.274,NA,NA,NA,NA,NA,NA,NA,NA,"F2"
"893",170,187,0.0079,30,NA,NA,NA,NA,22,NA,NA,1.728,3.302,3.674,3.706,5,35,0.63,NA,NA,NA,2,"35","F2"
"823",160,188,NA,35,NA,NA,NA,NA,25,NA,NA,2.189,4.091,3.525,4.011,5,40,0.63,NA,NA,NA,1,"32","F2"
"549",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.09,2.44,2.516,2.783,NA,NA,NA,NA,NA,NA,NA,"22","F2"
"30",159,181,0.0063,33,1.104,1.616398243,1.496,0.683,17,6.2808,0.392,2.059,2.49,2.303,2.995,2,31,0.55,NA,NA,0.36,2,"2","F2"
"645",160,178,0.0056,23,1.206,1.3878020713,1.442,0.869,17,NA,0.236,1.653,3.164,3.172,3.958,1,31,0.55,2.297,1.036,0.2,0,"25","F2"
"560",160,183,0.0165,31,NA,NA,NA,NA,18,NA,NA,1.517,2.733,2.919,3.45,0,38,0.47,NA,NA,NA,0,"22","F2"
"263",168,196,NA,53,1.639,1.5897187197,2.385,1.031,27,NA,0.746,2.427,4.094,4.629,4.92,3,53,0.51,NA,NA,0.46,2,"11","F2"
"829",152,172,0.0094,32,NA,NA,NA,NA,20,NA,NA,3.754,5.555,5.734,5.175,4,30,0.67,NA,NA,NA,0,"32","F2"
"256",168,193,NA,41,NA,NA,NA,NA,24,5.4398,NA,2.445,4.228,4.739,4.248,4,38,0.63,2.398,1.258,NA,0,"10","F2"
"791",170,196,0.0097,28,NA,NA,NA,NA,22,NA,NA,2.365,3.844,3.638,5.511,2,27,0.81,NA,NA,NA,0,"31","F2"
"1089",156,186,0.0062,33,NA,NA,NA,NA,26,NA,NA,2.507,4.684,4.93,4.467,2,37,0.7,NA,NA,NA,0,"42","F2"
"364",159,181,0.0113,30,1.241,1.6458885942,1.241,0.754,20,NA,0,1.923,3.104,3.305,3.233,1,34,0.59,NA,NA,0,1,"14","F2"
"698",160,187,NA,40,NA,NA,NA,NA,25,NA,NA,1.764,3.529,3.073,4.13,4,38,0.66,2.523,1.076,NA,0,"27","F2"
"947",152,174,0.0166,19.5,2.467,2.1754850088,2.467,1.134,20,NA,0,3,5.255,2.363,4.845,3,24,0.83,NA,NA,0,0,"37","F2"
"170",158,190,0.012,29,2.15,1.8097643098,2.29,1.188,31,NA,0.14,3.04,5.822,4.732,5.897,3,43,0.72,NA,NA,0.07,0,"7","F2"
"221",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.599,4.693,4.665,5.215,NA,NA,NA,NA,NA,NA,NA,NA,"F2"
"778",165,176,0.0148,21,1.708,2.0333333333,1.708,0.84,15,NA,0,2.636,3.782,3.972,4.14,1,18,0.83,2.671,1.52,0,7,"30","F2"
"108",172,200,NA,34.5,NA,NA,NA,NA,23,NA,NA,1.78,3.113,3.351,2.927,2,34,0.68,3.344,1.832,NA,1,"5","F2"
"727",165,NA,0.0183,NA,NA,NA,NA,NA,13,NA,NA,1.634,2.628,2.467,2.963,3,25,0.52,NA,NA,NA,4,"28","F2"
"634",214,NA,NA,NA,0.968,1.9437751004,0.968,0.498,NA,NA,0,1.243,1.447,1.343,2.077,NA,NA,NA,NA,NA,0,NA,"25","F2"
"228",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.749,5.592,5.867,4.995,NA,NA,NA,NA,NA,NA,NA,NA,"F2"
"237",159,182,0.0173,29,NA,NA,NA,NA,22,5.0188,NA,3.476,6.434,6.102,6.078,0,39,0.56,NA,NA,NA,0,"10","F2"
"625",160,185,0.0182,25,1.522,1.2865595943,1.872,1.183,23,NA,0.35,1.828,4.123,4.503,4.955,2,32,0.72,NA,NA,0.23,0,"25","F2"
"993",165,181,NA,28,0.911,1.3823975721,1.206,0.659,17,NA,0.295,1.527,3.081,2.925,3.42,1,33,0.52,NA,NA,0.32,0,"39","F2"
"1111",156,181,0.0074,30.5,NA,NA,NA,NA,16,NA,NA,2.178,4.548,4.622,4.578,1,29,0.55,2.937,1.325,NA,1,"43","F2"
"482",172,190,0.0312,20.5,NA,NA,NA,NA,13,NA,NA,1.9,2.739,3.089,3.512,3,22,0.59,2.623,1.079,NA,0,"19","F2"
"86",172,NA,NA,NA,1.307,1.8052486188,1.307,0.724,16,NA,0,1.82,2.595,2.654,2.997,0,30,0.53,2.169,1.099,0,0,"4","F2"
"910",170,194,NA,34.5,NA,NA,NA,NA,17,NA,NA,1.577,2.317,2.788,2.827,4,37,0.46,NA,NA,NA,0,"35","F2"
"960",160,183,0.0183,31,1.213,1.4039351852,1.365,0.864,21,NA,0.152,1.8,2.979,3.065,2.615,2,38,0.55,NA,NA,0.13,0,"37","F2"
"1113",172,205,0.0089,34,NA,NA,NA,NA,21,NA,NA,1.736,3.451,3.761,4.052,4,27,0.78,NA,NA,NA,0,"43","F2"
"463",168,185,0.0054,25,1.577,1.3444160273,1.857,1.173,14,5.0214,0.28,1.56,3.178,3.202,3.611,2,21,0.67,NA,NA,0.18,1,"18","F2"
"1085",168,193,0.0086,39,NA,NA,NA,NA,20,NA,NA,1.384,3.35,3.501,3.136,3,30,0.67,2.599,1.152,NA,0,"42","F2"
"546",172,197,0.0114,31.5,1.477,1.8696202532,1.592,0.79,26,NA,0.115,2.327,3.396,3.333,3.833,2,34,0.76,2.827,1.091,0.08,0,"21","F2"
"102",NA,NA,NA,NA,0.444,1.5689045936,0.444,0.283,NA,NA,0,0.967,0.937,0,0.854,NA,NA,NA,NA,NA,0,NA,"4","F2"
"700",156,178,0.0157,28,NA,NA,NA,NA,18,NA,NA,1.995,3.076,3.759,3.969,2,26,0.69,2.383,1.093,NA,0,"27","F2"
"99",160,193,NA,40,2.48,1.8916857361,2.801,1.311,34,NA,0.321,3.841,6.137,6.4,6.474,1,41,0.83,NA,NA,0.13,0,"4","F2"
"586",170,194,NA,50,2.085,1.578349735,2.388,1.321,28,NA,0.303,2.305,4.126,4.996,5.129,3,51,0.55,2.842,1.761,0.15,2,"23","F2"
"445",160,181,0.0101,30,1.641,1.6609311741,1.944,0.988,26,4.6427,0.303,2.023,3.749,4.208,4.034,3,36,0.72,NA,NA,0.18,0,"18","F2"
"588",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.625,0,0,1.082,NA,NA,NA,NA,NA,NA,NA,"23","F2"
"859",153,178,0.0067,26,NA,NA,NA,NA,30,NA,NA,3.15,5.093,5.423,5.356,3,32,0.94,NA,NA,NA,0,"34","F2"
"902",168,181,0.0134,27,NA,NA,NA,NA,15,NA,NA,2.419,3.113,3.484,3.83,2,24,0.63,2.426,1.178,NA,2,"35","F2"
"123",160,178,NA,25.5,1.905,1.7162162162,2.155,1.11,19,NA,0.25,3.285,3.891,4.543,4.241,1,32,0.59,2.483,1.528,0.13,0,"5","F2"
"128",167,190,NA,26,1.451,1.6414027149,1.851,0.884,22,NA,0.4,2.341,3.461,3.83,3.912,2,37,0.59,NA,NA,0.28,1,"5","F2"
"225",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.308,5.381,5.812,6.309,NA,NA,NA,NA,NA,NA,NA,NA,"F2"
"808",179,205,NA,34,NA,NA,NA,NA,21,NA,NA,1.971,2.607,1.511,3.813,0,30,0.7,NA,NA,NA,0,"32","F2"
"420",170,190,0.0152,28,1.803,1.4107981221,2.047,1.278,21,NA,0.244,2.121,4.393,4.36,4.425,3,32,0.66,NA,NA,0.14,1,"17","F2"
"312",153,174,0.0293,22.5,1.66,1.4397224631,2.443,1.153,21,NA,0.783,3.1,4.351,5.453,5.047,4,32,0.66,NA,NA,0.47,0,"12","F2"
"318",160,179,NA,21,1.623,1.6295180723,2.099,0.996,18,4.3588,0.476,2.709,4.257,4.114,4.544,1,27,0.67,2.731,1.254,0.29,0,"13","F2"
"331",NA,NA,NA,NA,0.599,1.9639344262,0.611,0.305,NA,NA,0.012,0,1.163,1.051,0.893,NA,NA,NA,NA,NA,0.02,NA,"13","F2"
"621",167,193,NA,36,1.382,1.5120350109,1.944,0.914,19,NA,0.562,2.303,3.263,3.464,3.668,0,34,0.56,3.014,1.423,0.41,1,"24","F2"
"1076",165,195,0.0097,45.5,NA,NA,NA,NA,20,NA,NA,2.41,4.24,4.309,4.442,2,34,0.59,NA,NA,NA,2,"42","F2"
"10101010",161,193,NA,42,1.348,1.5318181818,1.584,0.88,29,2.836,0.236,NA,NA,NA,NA,3,40,0.73,2.211,1.326,0.18,0,"11","Anem"
"409",182,200,0.0037,17.5,0.895,1.5646853147,1.076,0.572,18,4.6064,0.181,1.021,2.176,2.5,2.054,3,25,0.72,NA,NA,0.2,0,"16","F2"
"476",168,194,NA,39,NA,NA,NA,NA,18,NA,NA,1.607,3.774,4.043,4.846,3,33,0.55,2.647,1.211,NA,0,"19","F2"
"75",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.756,2.891,3.08,3.255,NA,NA,NA,NA,NA,NA,NA,NA,"F2"
"1024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.823,4.024,4.478,5.021,NA,NA,NA,NA,NA,NA,NA,NA,"F2"
"211",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.476,6.434,6.102,6.078,NA,NA,NA,NA,NA,NA,NA,NA,"F2"
"660",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.557,4.421,4.388,5.195,NA,NA,NA,NA,NA,NA,NA,NA,"F2"
"599",NA,NA,NA,NA,1.149,2.9689922481,1.149,0.387,NA,NA,0,1.202,1.94,1.445,2.169,NA,NA,NA,NA,NA,0,NA,"24","F2"
"653",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.303,4.875,4.79,4.763,NA,NA,NA,NA,NA,NA,NA,NA,"F2"
"626",166,190,0.0048,32,1.015,1.3716216216,1.596,0.74,20,NA,0.581,1.76,3.092,3.608,4.043,3,35,0.57,NA,NA,0.57,0,"25","F2"
"334",170,199,0.0154,34,1.954,1.7261484099,2.237,1.132,25,5.8912,0.283,2.617,3.863,4.438,4.128,2,34,0.74,NA,NA,0.14,0,"13","F2"
"63",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.361,2.385,2.96,3.549,NA,NA,NA,NA,NA,NA,NA,NA,"F2"
"542",170,190,0.0072,39.5,1.257,1.4107744108,1.51,0.891,29,NA,0.253,2.304,3.59,3.108,3.691,5,46,0.63,NA,NA,0.2,0,"21","F2"
"833",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.271,5.053,5.286,4.957,NA,NA,NA,NA,NA,NA,NA,NA,"F2"
"279",166,193,NA,49,1.88,1.5758591785,2.367,1.193,26,NA,0.487,1.984,4.52,4.967,5.412,3,48,0.54,3.151,1.537,0.26,2,"11","F2"
"561",166,NA,0.0104,NA,NA,NA,NA,NA,16,NA,NA,1.801,3.708,2.957,3.508,1,25,0.64,NA,NA,NA,0,"22","F2"
"836",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.471,2.375,2.733,4.58,NA,NA,NA,NA,NA,NA,NA,NA,"F2"
"1049",160,178,0.0181,25,1.414,1.564159292,1.907,0.904,22,NA,0.493,1.813,4.645,5.061,5.035,1,31,0.71,NA,NA,0.35,0,"41","F2"
"497",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.489,2.971,3.104,3.875,NA,NA,NA,NA,NA,NA,NA,NA,"F2"
"690",167,195,0.0052,47,NA,NA,NA,NA,25,NA,NA,1.782,3.625,2.402,4.196,4,43,0.58,2.652,1.43,NA,1,"27","F2"
"1068",161,179,0.0199,23,NA,NA,NA,NA,14,NA,NA,2.277,3.965,4.371,4.623,1,31,0.45,2.519,1.151,NA,1,"42","F2"
"82",160,185,NA,24.5,1.535,1.8471720818,1.657,0.831,21,NA,0.122,3.18,3.175,3.217,3.482,2,30,0.7,NA,NA,0.08,0,"4","F2"
"327",172,193,0.0035,31,2.007,1.9561403509,2.138,1.026,14,4.3342,0.131,1.373,2.944,2.933,3.434,3,29,0.48,2.465,1.225,0.07,1,"13","F2"
"39",158,178,0.024,27,1.089,1.2721962617,1.645,0.856,27,5.2396,0.556,2.018,3.54,2.581,3.961,3,34,0.79,NA,NA,0.51,2,"2","F2"
"395",156,181,0.0276,25.5,1.561,1.3753303965,1.745,1.135,22,4.2755,0.184,2.054,3.382,4.011,4.185,2,28,0.79,NA,NA,0.12,0,"16","F2"
"35",167,196,0.0201,31,1.028,1.6607431341,1.251,0.619,21,5.6902,0.223,2.106,3.452,3.44,3.883,3,39,0.54,2.772,1.289,0.22,1,"2","F2"
"725",160,181,0.0059,29,NA,NA,NA,NA,16,NA,NA,1.482,2.899,3.009,3.869,3,29,0.55,NA,NA,NA,2,"28","F2"
"830",168,190,NA,26,NA,NA,NA,NA,25,NA,NA,1.759,2.918,3.138,3.045,2,28,0.89,2.919,1.08,NA,0,"32","F2"
"996",161,181,0.0259,27,0.973,1.4832317073,1.381,0.656,21,NA,0.408,1.508,2.499,2.845,3.289,2,33,0.64,NA,NA,0.42,2,"39","F2"
"711",156,176,0.0096,26,NA,NA,NA,NA,18,NA,NA,1.302,2.36,2.837,3.041,5,22,0.82,NA,NA,NA,0,"28","F2"
"386",167,195,0.0065,36,1.953,1.5245901639,2.556,1.281,23,5.2248,0.603,2.684,5.463,5.165,4.229,3,34,0.68,NA,NA,0.31,2,"15","F2"
"224",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.223,6.488,6.568,6.612,NA,NA,NA,NA,NA,NA,NA,NA,"F2"
"908",173,190,0.0142,28,NA,NA,NA,NA,15,NA,NA,1.741,2.766,2.767,2.888,3,28,0.54,2.63,1.248,NA,0,"35","F2"
"1045",159,174,NA,23.5,1.013,1.211722488,1.272,0.836,18,NA,0.259,1.188,2.24,2.542,3.144,2,28,0.64,NA,NA,0.26,0,"41","F2"
"306",158,178,0.0125,31,1.695,1.7637877211,2.386,0.961,27,4.2814,0.691,3.118,4.54,4.576,4.732,3,37,0.73,NA,NA,0.41,0,"12","F2"
"31",168,195,NA,36,1.207,1.4334916865,1.606,0.842,21,5.2924,0.399,1.933,3.497,2.921,3.648,3,32,0.66,NA,NA,0.33,0,"2","F2"
"385",167,189,0.0277,29,1.487,1.379406308,1.696,1.078,23,4.3054,0.209,1.798,2.908,3.314,3.107,4,30,0.77,NA,NA,0.14,0,"15","F2"
"523",162,193,0.0259,41.5,1.525,1.8944099379,1.839,0.805,25,NA,0.314,3.139,4.746,5.074,5.059,2,43,0.58,2.923,1.374,0.21,0,"21","F2"
"863",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1.078,NA,NA,NA,NA,NA,NA,NA,"34","F2"
