ID,DNA,RADseq_pool_100bp,RADseq_pool_150bp,Adapter_100bp,Adapter_150bp,W.S,CSr,P.H,L.L,L.W,Pti,Lam,LLW,P.L,L.M,N.L,S.H,Gsh,Ssh,SLD,Gen,B.T,F.T,SLL,SLW,Pet,FSr,Rot,Sht,RSR,RD1,RD2,RD3,RD4,Replanted,Block,Tray,Cross,TrayBlock
779,13.3,8,8,6,6,0.0186,1,19,1.481,0.552,0.531,0.95,1.721014,0.56,1,19,25,NA,NA,0.76,F2,162,183,NA,NA,NA,NA,NA,NA,NA,1.677,3.686,3.427,3.856,1,NA,30,2,30
373,20.1,36,36,6,6,0.0057,1,32,1.561,0.922,0.335,1.226,1.329718,0.27,2,15,25,1,3,0.6,F2,170,193,2.373,1.013,5.3238,NA,NA,NA,NA,1.596,2.099,1.94,2.426,NA,NA,15,3,15
894,33.6,11,11,9,9,0.0072,1,30,NA,NA,NA,NA,NA,NA,NA,25,38,NA,4,0.66,F2,170,197,2.377,1.251,NA,NA,NA,NA,NA,1.784,2.49,2.829,3.281,NA,NA,35,3,35
877,16.8,30,48,19,11,NA,1,39,NA,NA,NA,NA,NA,NA,NA,30,45,NA,2,0.67,F2,160,190,NA,NA,NA,NA,NA,NA,NA,2.965,4.472,3.989,4.417,NA,NA,34,2,34
446,34.7,27,27,9,9,0.0065,1,37,NA,NA,NA,NA,NA,NA,NA,18,41,NA,2,0.44,F2,160,190,NA,NA,5.101,NA,NA,NA,NA,2.528,3.737,4.438,4.132,NA,NA,18,2,18
601,26.6,19,19,19,19,NA,1,19,1.13,0.703,0.313,0.817,1.162162,0.38,2,14,23,1,1,0.61,F2,161,174,NA,NA,NA,NA,NA,NA,NA,1.378,2.939,3.096,2.947,NA,NA,24,2,24
1115,18.9,46,46,11,11,0.0102,1,28.5,NA,NA,NA,NA,NA,NA,NA,21,31,2,3,0.68,F2,158,181,2.338,1.442,NA,NA,NA,NA,NA,2.043,4.237,4.762,5.093,NA,NA,43,3,43
1049,13.9,16,16,12,12,0.0181,1,25,1.907,0.904,0.493,1.414,1.564159,0.35,1,22,31,NA,1,0.71,F2,160,178,NA,NA,NA,NA,NA,NA,NA,1.813,4.645,5.061,5.035,NA,NA,41,3,41
967,16.5,46,49,1,16,0.00222840909090905,1,35,NA,NA,NA,NA,NA,NA,NA,20,32,1,5,0.63,F2,165,193,NA,NA,NA,NA,NA,NA,NA,1.949,3.427,2.832,3.17,NA,NA,38,2,38
1001,15.2,25,48,14,4,0.019,1,30.5,1.85,0.838,0.117,1.733,2.068019,0.07,2,24,37,2,3,0.65,F2,165,190,NA,NA,NA,NA,NA,NA,NA,2.619,5.195,5.431,5.384,NA,NA,39,3,39
561,16.4,26,48,3,6,0.0104,1,NA,NA,NA,NA,NA,NA,NA,NA,16,25,NA,1,0.64,F2,166,NA,NA,NA,NA,NA,NA,NA,NA,1.801,3.708,2.957,3.508,NA,NA,22,2,22
479,15.7,15,15,14,14,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,F2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.969,1.521,1.568,2.936,NA,NA,19,2,19
634,24.9,19,19,5,5,NA,1,NA,0.968,0.498,NA,0.968,1.943775,NA,1,NA,NA,NA,NA,NA,F2,214,NA,NA,NA,NA,NA,NA,NA,NA,1.243,1.447,1.343,2.077,NA,NA,25,3,25
617,17,2,2,20,20,NA,1,33,2.006,1.002,0.181,1.825,1.821357,0.1,1,21,37,NA,NA,0.57,F2,181,NA,NA,NA,NA,NA,NA,NA,NA,1.96,4.36,4.669,5.041,NA,NA,24,2,24
707,13.6,21,21,13,13,0.0245,1,29,NA,NA,NA,NA,NA,NA,NA,20,31,NA,2,0.65,F2,160,181,NA,NA,NA,NA,NA,NA,NA,1.515,2.792,3.397,3.839,1,NA,28,2,28
1090,15.4,2,2,16,16,0.0239,1,43,NA,NA,NA,NA,NA,NA,NA,17,43,NA,3,0.4,F2,167,195,NA,NA,NA,NA,NA,NA,NA,1.838,3.3,2.845,3.477,NA,NA,42,3,42
732,19.4,32,32,1,1,0.000843181818181801,1,24,NA,NA,NA,NA,NA,NA,NA,14,20,2,4,0.7,F2,160,178,NA,NA,NA,NA,NA,NA,NA,1.087,2.868,2.839,3.588,NA,NA,29,2,29
146,12.4,6,6,9,9,0.0118,1,35,1.211,0.693,0.251,0.96,1.385281,0.26,2,20,36,NA,3,0.56,F2,172,196,2.652,1.187,NA,NA,NA,NA,NA,1.542,2.593,2.741,3.18,NA,NA,6,3,6
301,23.6,40,40,14,14,0.0056,1,32.5,1.087,0.563,0.244,0.843,1.497336,0.29,2,24,34,NA,3,0.71,F2,167,187,3.122,1.273,NA,NA,NA,NA,NA,2.146,2.627,2.389,2.78,NA,NA,12,2,12
129,12.6,9,9,9,9,NA,1,30,1.268,0.737,0.07,1.198,1.625509,0.06,1,10,29,NA,2,0.34,F2,172,200,2.777,1.501,NA,NA,NA,NA,NA,1.126,1.819,2.287,2.406,NA,NA,5,2,5
805,21.3,31,48,12,13,0.0127,1,33,NA,NA,NA,NA,NA,NA,NA,20,36,NA,3,0.56,F2,161,181,NA,NA,NA,NA,NA,NA,NA,1.982,2.659,3.206,2.97,NA,NA,31,2,31
261,18.4,13,13,17,17,0.00120454545454543,1,38.5,1.834,1.078,NA,1.834,1.701299,NA,2,20,36,1,3,0.56,F2,170,196,3.377,1.301,NA,NA,NA,NA,NA,1.959,3.887,4.347,4.18,NA,NA,11,3,11
765,11.7,21,21,1,1,0.00234886363636359,1,32,1.712,0.937,0.374,1.338,1.427962,0.28,2,17,23,NA,6,0.74,F2,155,181,NA,NA,NA,NA,NA,NA,NA,2.142,5.096,5.304,5.648,NA,NA,30,2,30
317,26.9,41,41,2,2,0.0117,1,25,1.921,1.02,0.491,1.43,1.401961,0.34,1,18,24,3,2,0.75,F2,161,178,NA,NA,4.2794,NA,NA,NA,NA,2.248,3.783,4.125,3.889,NA,NA,13,2,13
1042,12.8,15,15,17,17,0.0126,1,34,1.575,0.762,0.266,1.309,1.717848,0.2,1,18,29,NA,1,0.62,F2,159,181,NA,NA,NA,NA,NA,NA,NA,1.514,3.012,3.164,4.239,NA,NA,41,3,41
35,34.7,12,12,7,7,0.0201,1,31,1.251,0.619,0.223,1.028,1.660743,0.22,2,21,39,1,3,0.54,F2,167,196,2.772,1.289,5.6902,NA,NA,NA,NA,2.106,3.452,3.44,3.883,NA,NA,2,2,2
880,12.7,4,4,20,20,0.0238,1,21,NA,NA,NA,NA,NA,NA,NA,15,41,NA,3,0.37,F2,156,174,NA,NA,NA,NA,NA,NA,NA,1.551,2.975,3.175,3.149,NA,NA,34,2,34
432,17.3,23,23,12,12,0.0183,1,29,1.486,0.957,0.291,1.195,1.248694,0.24,1,15,29,1,2,0.52,F2,168,190,NA,NA,NA,NA,NA,NA,NA,1.448,3.028,2.506,3.456,NA,NA,17,3,17
44,28.2,36,36,5,5,0.0057,1,35,1.29,0.519,0.554,0.736,1.418112,0.75,2,17,33,NA,NA,0.52,F2,165,193,2.945,1.367,5.5698,NA,NA,NA,NA,1.308,2.987,2.771,2.95,NA,NA,2,2,2
798,45.8,26,26,14,14,NA,1,23,NA,NA,NA,NA,NA,NA,NA,14,24,NA,2,0.58,F2,172,190,NA,NA,NA,NA,NA,NA,NA,1.725,2.303,2.215,3.158,NA,NA,31,2,31
953,32.7,45,50,18,11,0.0118,1,NA,2.251,1.257,0.304,1.947,1.548926,0.16,2,21,31,NA,2,0.68,F2,168,NA,2.521,1.266,NA,NA,NA,NA,NA,2.991,5.031,5.619,4.572,NA,NA,37,2,37
1112,52.7,27,27,18,18,0.0365,1,31,NA,NA,NA,NA,NA,NA,NA,22,34,3,3,0.65,F2,160,183,NA,NA,NA,NA,NA,NA,NA,3.421,5.081,5.352,5.041,NA,NA,43,3,43
392,13.2,42,49,16,12,0.0106,1,40,1.273,0.669,0.149,1.124,1.68012,0.13,1,21,35,1,3,0.6,F2,168,193,NA,NA,4.8873,NA,NA,NA,NA,1.577,2.359,2.434,2.457,NA,NA,16,2,16
62,26.3,NA,51,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0.0047,0.0245,0.19183673,2.292,4.103,4.405,4.004,NA,3,NA,NA,3
